onset	duration	nwb_table	label
1.0	229.0	states	Non-REM
231.0	21.0	states	Awake
253.0	362.0	states	Non-REM
616.0	20.0	states	REM
637.0	32.0	states	Awake
670.0	237.0	states	Non-REM
908.0	17.0	states	Awake
926.0	275.0	states	Non-REM
1202.0	24.0	states	REM
1227.0	137.0	states	Non-REM
1365.0	18.0	states	REM
1384.0	156.0	states	Non-REM
1541.0	15.0	states	REM
1557.0	27.0	states	Awake
1585.0	247.0	states	Non-REM
1833.0	18.0	states	REM
1852.0	22.0	states	Awake
1875.0	92.0	states	Non-REM
1968.0	21.0	states	REM
1990.0	339.0	states	Non-REM
2330.0	606.0	states	Awake
2937.0	176.0	states	Non-REM
3114.0	19.0	states	Awake
3134.0	222.0	states	Non-REM
3357.0	46.0	states	REM
3404.0	44.0	states	Awake
3449.0	230.0	states	Non-REM
3680.0	27.0	states	REM
3708.0	14.0	states	Awake
3723.0	291.0	states	Non-REM
4015.0	60.0	states	REM
4076.0	45.0	states	Awake
4122.0	38.0	states	Non-REM
4161.0	124.0	states	REM
4286.0	46.0	states	Awake
4333.0	371.0	states	Non-REM
4705.0	24.0	states	Awake
4730.0	427.0	states	Non-REM
5158.0	99.0	states	REM
5258.0	11.0	states	Awake
5270.0	15.0	states	Non-REM
5286.0	13.0	states	REM
5300.0	33.0	states	Awake
5334.0	28.0	states	Non-REM
5363.0	19.0	states	Awake
5383.0	170.0	states	Non-REM
5554.0	9.0	states	Awake
5564.0	739.0	states	Non-REM
6304.0	63.0	states	REM
6368.0	1717.0	states	Awake
8086.0	348.0	states	Non-REM
8435.0	74.0	states	REM
8510.0	253.0	states	Awake
8764.0	247.0	states	Non-REM
9012.0	16.0	states	Awake
9029.0	342.0	states	Non-REM
9372.0	1523.0	states	Awake
10896.0	511.0	states	Non-REM
11408.0	32.0	states	REM
11441.0	13.0	states	Awake
11455.0	296.0	states	Non-REM
11752.0	90.0	states	REM
11843.0	47.0	states	Awake
11891.0	64.0	states	Non-REM
11956.0	33.0	states	REM
11990.0	23.0	states	Awake
12014.0	357.0	states	Non-REM
12372.0	73.0	states	REM
12446.0	30.0	states	Awake
12477.0	652.0	states	Non-REM
13130.0	123.0	states	REM
13254.0	22.0	states	Awake
13277.0	128.0	states	Non-REM
13406.0	352.0	states	Awake
13759.0	227.0	states	Non-REM
13987.0	27.0	states	Awake
14015.0	100.0	states	Non-REM
14116.0	26.0	states	Awake
14143.0	628.0	states	Non-REM
14772.0	98.0	states	REM
14871.0	60.0	states	Awake
14932.0	708.0	states	Non-REM
15641.0	48.0	states	Awake
15690.0	95.0	states	Non-REM
15786.0	19.0	states	Awake
15806.0	61.0	states	Non-REM
15868.0	1883.0	states	Awake
17752.0	450.0	states	Non-REM
18203.0	23.0	states	Awake
18227.0	169.0	states	Non-REM
18397.0	50.0	states	REM
18448.0	12.0	states	Awake
18461.0	171.0	states	Non-REM
18633.0	3018.0	states	Awake
