onset	duration	nwb_table	label
1.0	120.0	states	Awake
122.0	663.0	states	Non-REM
786.0	60.0	states	Awake
847.0	437.0	states	Non-REM
1285.0	41.0	states	REM
1327.0	86.0	states	Awake
1414.0	488.0	states	Non-REM
1903.0	22.0	states	REM
1926.0	18.0	states	Awake
1945.0	271.0	states	Non-REM
2217.0	44.0	states	REM
2262.0	2153.0	states	Awake
4416.0	702.0	states	Non-REM
5119.0	18.0	states	Awake
5138.0	230.0	states	Non-REM
5369.0	34.0	states	REM
5404.0	16.0	states	Awake
5421.0	516.0	states	Non-REM
5938.0	81.0	states	REM
6020.0	12.0	states	Awake
6033.0	100.0	states	Non-REM
6134.0	19.0	states	Awake
6154.0	527.0	states	Non-REM
6682.0	643.0	states	Awake
7326.0	98.0	states	Non-REM
7425.0	113.0	states	Awake
7539.0	126.0	states	Non-REM
7666.0	31.0	states	Awake
7698.0	207.0	states	Non-REM
7906.0	18.0	states	Awake
7925.0	115.0	states	Non-REM
8041.0	78.0	states	REM
8120.0	30.0	states	Awake
8151.0	178.0	states	Non-REM
8330.0	2321.0	states	Awake
10652.0	1011.0	states	Non-REM
11664.0	75.0	states	REM
11740.0	27.0	states	Awake
11768.0	1114.0	states	Non-REM
12883.0	43.0	states	Awake
12927.0	312.0	states	Non-REM
13240.0	38.0	states	Awake
13279.0	219.0	states	Non-REM
13499.0	193.0	states	REM
13693.0	29.0	states	Awake
13723.0	1205.0	states	Non-REM
14929.0	53.0	states	REM
14983.0	17.0	states	Awake
15001.0	330.0	states	Non-REM
15332.0	85.0	states	REM
15418.0	103.0	states	Awake
15522.0	41.0	states	Non-REM
15564.0	517.0	states	Awake
16082.0	575.0	states	Non-REM
16658.0	10.0	states	Awake
16669.0	305.0	states	Non-REM
