onset	duration	nwb_table	label
1.0	260.0	states	Non-REM
262.0	174.0	states	REM
437.0	8.0	states	Awake
446.0	25.0	states	Non-REM
472.0	27.0	states	Awake
500.0	748.0	states	Non-REM
1249.0	187.0	states	REM
1437.0	433.0	states	Non-REM
1871.0	826.0	states	Awake
2698.0	82.0	states	Non-REM
2781.0	105.0	states	Awake
2887.0	31.0	states	Non-REM
2919.0	154.0	states	Awake
3074.0	40.0	states	Non-REM
3115.0	119.0	states	Awake
3235.0	504.0	states	Non-REM
3740.0	96.0	states	REM
3837.0	570.0	states	Non-REM
4408.0	61.0	states	REM
4470.0	786.0	states	Non-REM
5257.0	235.0	states	REM
5493.0	16.0	states	Awake
5510.0	104.0	states	Non-REM
5615.0	9.0	states	Awake
5625.0	906.0	states	Non-REM
6532.0	121.0	states	REM
6654.0	17.0	states	Awake
6672.0	654.0	states	Non-REM
7327.0	75.0	states	REM
7403.0	531.0	states	Non-REM
7935.0	69.0	states	REM
8005.0	2057.0	states	Awake
10063.0	46.0	states	Non-REM
10110.0	209.0	states	Awake
10320.0	30.0	states	Non-REM
10351.0	14.0	states	Awake
10366.0	724.0	states	Non-REM
11091.0	98.0	states	REM
11190.0	9.0	states	Awake
11200.0	671.0	states	Non-REM
11872.0	90.0	states	REM
11963.0	19.0	states	Awake
11983.0	644.0	states	Non-REM
12628.0	111.0	states	REM
12740.0	1525.0	states	Awake
14266.0	905.0	states	Non-REM
15172.0	188.0	states	REM
15361.0	605.0	states	Non-REM
15967.0	103.0	states	REM
16071.0	7.0	states	Awake
16079.0	176.0	states	Non-REM
16256.0	11.0	states	Awake
16268.0	350.0	states	Non-REM
16619.0	111.0	states	REM
16731.0	8.0	states	Awake
16740.0	763.0	states	Non-REM
17504.0	68.0	states	REM
17573.0	4494.0	states	Awake
22068.0	124.0	states	Non-REM
22193.0	11.0	states	Awake
22205.0	1696.0	states	Non-REM
23902.0	11.0	states	Awake
23914.0	1155.0	states	Non-REM
25070.0	17.0	states	Awake
25088.0	146.0	states	Non-REM
25235.0	60.0	states	REM
25296.0	213.0	states	Non-REM
25510.0	69.0	states	REM
25580.0	562.0	states	Non-REM
26143.0	112.0	states	REM
26256.0	11.0	states	Awake
