onset	duration	nwb_table	label
1.0	108.0	states	Awake
110.0	466.0	states	Non-REM
577.0	11.0	states	Awake
589.0	142.0	states	Non-REM
732.0	47.0	states	REM
780.0	36.0	states	Awake
817.0	234.0	states	Non-REM
1052.0	9.0	states	Awake
1062.0	135.0	states	Non-REM
1198.0	136.0	states	REM
1335.0	48.0	states	Awake
1384.0	794.0	states	Non-REM
2179.0	94.0	states	REM
2274.0	56.0	states	Non-REM
2331.0	14.0	states	Awake
2346.0	430.0	states	Non-REM
2777.0	15.0	states	Awake
2793.0	213.0	states	Non-REM
3007.0	71.0	states	REM
3079.0	12.0	states	Awake
3092.0	37.0	states	Non-REM
3130.0	22.0	states	Awake
3153.0	189.0	states	Non-REM
3343.0	36.0	states	Awake
3380.0	234.0	states	Non-REM
3615.0	26.0	states	Awake
3642.0	92.0	states	Non-REM
3735.0	59.0	states	REM
3795.0	28.0	states	Awake
3824.0	189.0	states	Non-REM
4014.0	1871.0	states	Awake
5886.0	46.0	states	Non-REM
5933.0	42.0	states	Awake
5976.0	84.0	states	Non-REM
6061.0	22.0	states	Awake
6084.0	19.0	states	Non-REM
6104.0	1952.0	states	Awake
8057.0	221.0	states	Non-REM
8279.0	175.0	states	REM
8455.0	21.0	states	Awake
8477.0	93.0	states	Non-REM
8571.0	15.0	states	Awake
8587.0	711.0	states	Non-REM
9299.0	80.0	states	REM
9380.0	36.0	states	Awake
9417.0	795.0	states	Non-REM
10213.0	104.0	states	REM
10318.0	62.0	states	Awake
10381.0	821.0	states	Non-REM
11203.0	61.0	states	REM
11265.0	25.0	states	Awake
11291.0	53.0	states	Non-REM
11345.0	39.0	states	Awake
11385.0	208.0	states	Non-REM
11594.0	7.0	states	REM
11602.0	9.0	states	Awake
11612.0	213.0	states	Non-REM
11826.0	81.0	states	REM
11908.0	36.0	states	Awake
11945.0	81.0	states	Non-REM
12027.0	14.0	states	Awake
12042.0	292.0	states	Non-REM
12335.0	8.0	states	Awake
12344.0	41.0	states	Non-REM
12386.0	1237.0	states	Awake
13624.0	349.0	states	Non-REM
13974.0	73.0	states	REM
14048.0	56.0	states	Awake
14105.0	251.0	states	Non-REM
14357.0	44.0	states	Awake
14402.0	92.0	states	Non-REM
14495.0	12.0	states	Awake
14508.0	204.0	states	Non-REM
14713.0	14.0	states	Awake
14728.0	70.0	states	Non-REM
14799.0	22.0	states	Awake
14822.0	61.0	states	Non-REM
14884.0	740.0	states	Awake
