onset	duration	nwb_table	label
1.0	37.0	states	Non-REM
39.0	47.0	states	Awake
87.0	34.0	states	Non-REM
122.0	26.0	states	Awake
149.0	44.0	states	Non-REM
194.0	13.0	states	Awake
208.0	179.0	states	Non-REM
388.0	32.0	states	Awake
421.0	97.0	states	Non-REM
519.0	20.0	states	Awake
540.0	82.0	states	Non-REM
623.0	35.0	states	Awake
659.0	141.0	states	Non-REM
801.0	21.0	states	REM
823.0	23.0	states	Awake
847.0	34.0	states	Non-REM
882.0	29.0	states	REM
912.0	46.0	states	Awake
959.0	35.0	states	Non-REM
995.0	8.0	states	Awake
1004.0	39.0	states	Non-REM
1044.0	20.0	states	Awake
1065.0	54.0	states	Non-REM
1120.0	9.0	states	REM
1130.0	155.0	states	Awake
1286.0	70.0	states	Non-REM
1357.0	20.0	states	Awake
1378.0	65.0	states	Non-REM
1444.0	12.0	states	Awake
1457.0	39.0	states	Non-REM
1497.0	18.0	states	Awake
1516.0	67.0	states	Non-REM
1584.0	185.0	states	REM
1770.0	33.0	states	Awake
1804.0	369.0	states	Non-REM
2174.0	28.0	states	Awake
2203.0	271.0	states	Non-REM
2475.0	258.0	states	Awake
2734.0	113.0	states	Non-REM
2848.0	23.0	states	Awake
2872.0	112.0	states	Non-REM
2985.0	19.0	states	REM
3005.0	10.0	states	Awake
3016.0	67.0	states	Non-REM
3084.0	76.0	states	REM
3161.0	33.0	states	Awake
3195.0	17.0	states	Non-REM
3213.0	43.0	states	Awake
3257.0	301.0	states	Non-REM
3559.0	6004.0	states	Awake
9564.0	100.0	states	Non-REM
9665.0	8.0	states	Awake
9674.0	186.0	states	Non-REM
9861.0	28.0	states	Awake
9890.0	622.0	states	Non-REM
10513.0	130.0	states	Awake
10644.0	22.0	states	Non-REM
10667.0	138.0	states	Awake
10806.0	193.0	states	Non-REM
11000.0	62.0	states	Awake
11063.0	140.0	states	Non-REM
11204.0	80.0	states	Awake
11285.0	281.0	states	Non-REM
11567.0	17.0	states	Awake
11585.0	99.0	states	Non-REM
11685.0	32.0	states	Awake
11718.0	43.0	states	Non-REM
11762.0	129.0	states	Awake
11892.0	19.0	states	Non-REM
11912.0	54.0	states	Awake
11967.0	86.0	states	Non-REM
12054.0	37.0	states	Awake
12092.0	103.0	states	Non-REM
12196.0	66.0	states	Awake
12263.0	81.0	states	Non-REM
12345.0	202.0	states	Awake
12548.0	327.0	states	Non-REM
12876.0	143.0	states	Awake
13020.0	252.0	states	Non-REM
13273.0	357.0	states	Awake
13631.0	143.0	states	Non-REM
13775.0	10.0	states	Awake
13786.0	82.0	states	Non-REM
13869.0	19.0	states	Awake
13889.0	260.0	states	Non-REM
14150.0	355.0	states	Awake
14506.0	279.0	states	Non-REM
14786.0	68.0	states	Awake
14855.0	135.0	states	Non-REM
14991.0	246.0	states	Awake
15238.0	336.0	states	Non-REM
15575.0	27.0	states	Awake
15603.0	122.0	states	Non-REM
15726.0	160.0	states	Awake
15887.0	60.0	states	Non-REM
15948.0	186.0	states	Awake
16135.0	201.0	states	Non-REM
16337.0	144.0	states	Awake
16482.0	279.0	states	Non-REM
16762.0	36.0	states	Awake
16799.0	212.0	states	Non-REM
17012.0	30.0	states	Awake
17043.0	18.0	states	Non-REM
17062.0	93.0	states	Awake
17156.0	165.0	states	Non-REM
17322.0	19.0	states	Awake
17342.0	48.0	states	Non-REM
17391.0	110.0	states	REM
17502.0	18.0	states	Awake
17521.0	70.0	states	Non-REM
17592.0	1448.0	states	Awake
19041.0	88.0	states	Non-REM
19130.0	881.0	states	Awake
20012.0	14.0	states	Non-REM
20027.0	239.0	states	Awake
20267.0	77.0	states	Non-REM
20345.0	58.0	states	Awake
20404.0	146.0	states	Non-REM
20551.0	19.0	states	Awake
20571.0	98.0	states	Non-REM
20670.0	17.0	states	Awake
20688.0	66.0	states	Non-REM
20755.0	19.0	states	Awake
20775.0	73.0	states	Non-REM
20849.0	9.0	states	Awake
20859.0	52.0	states	Non-REM
20912.0	25.0	states	Awake
20938.0	100.0	states	Non-REM
21039.0	36.0	states	Awake
21076.0	11.0	states	Non-REM
21088.0	11.0	states	Awake
21100.0	113.0	states	Non-REM
21214.0	35.0	states	Awake
21250.0	30.0	states	Non-REM
21281.0	86.0	states	Awake
21368.0	32.0	states	Non-REM
21401.0	587.0	states	Awake
21989.0	38.0	states	Non-REM
22028.0	25.0	states	Awake
22054.0	51.0	states	Non-REM
22106.0	219.0	states	Awake
22326.0	170.0	states	Non-REM
22497.0	10.0	states	Awake
22508.0	40.0	states	Non-REM
22549.0	120.0	states	Awake
22670.0	47.0	states	Non-REM
22718.0	14.0	states	Awake
22733.0	14.0	states	Non-REM
22748.0	114.0	states	Awake
22863.0	97.0	states	Non-REM
22961.0	26.0	states	Awake
22988.0	48.0	states	Non-REM
23037.0	73.0	states	REM
23111.0	57.0	states	Awake
23169.0	104.0	states	Non-REM
23274.0	28.0	states	Awake
23303.0	32.0	states	Non-REM
23336.0	38.0	states	Awake
23375.0	21.0	states	Non-REM
23397.0	24.0	states	Awake
23422.0	217.0	states	Non-REM
23640.0	41.0	states	Awake
23682.0	118.0	states	Non-REM
23801.0	52.0	states	REM
23854.0	2510.0	states	Awake
