onset	duration	nwb_table	label
1.0	112.0	states	Awake
114.0	457.0	states	Non-REM
572.0	155.0	states	REM
728.0	40.0	states	Awake
769.0	748.0	states	Non-REM
1518.0	101.0	states	REM
1620.0	38.0	states	Awake
1659.0	15.0	states	Non-REM
1675.0	10.0	states	Awake
1686.0	446.0	states	Non-REM
2133.0	37.0	states	REM
2171.0	19.0	states	Awake
2191.0	297.0	states	Non-REM
2489.0	189.0	states	REM
2679.0	27.0	states	Awake
2707.0	580.0	states	Non-REM
3288.0	91.0	states	REM
3380.0	368.0	states	Non-REM
3749.0	43.0	states	REM
3793.0	368.0	states	Non-REM
4162.0	238.0	states	REM
4401.0	720.0	states	Awake
5122.0	774.0	states	Non-REM
5897.0	74.0	states	REM
5972.0	20.0	states	Awake
5993.0	169.0	states	Non-REM
6163.0	10.0	states	Awake
6174.0	70.0	states	Non-REM
6245.0	20.0	states	Awake
6266.0	229.0	states	Non-REM
6496.0	201.0	states	REM
6698.0	16.0	states	Awake
6715.0	503.0	states	Non-REM
7219.0	3818.0	states	Awake
11038.0	598.0	states	Non-REM
11637.0	10.0	states	REM
11648.0	407.0	states	Non-REM
12056.0	64.0	states	REM
12121.0	21.0	states	Awake
12143.0	477.0	states	Non-REM
12621.0	146.0	states	REM
12768.0	596.0	states	Non-REM
13365.0	93.0	states	REM
13459.0	500.0	states	Non-REM
13960.0	17.0	states	Awake
13978.0	157.0	states	Non-REM
14136.0	135.0	states	REM
14272.0	484.0	states	Non-REM
14757.0	24.0	states	REM
14782.0	605.0	states	Non-REM
15388.0	119.0	states	REM
15508.0	10.0	states	Awake
15519.0	694.0	states	Non-REM
16214.0	39.0	states	REM
16254.0	246.0	states	Non-REM
16501.0	4894.0	states	Awake
21396.0	490.0	states	Non-REM
21887.0	62.0	states	REM
21950.0	8.0	states	Awake
21959.0	107.0	states	Non-REM
22067.0	14.0	states	Awake
22082.0	1113.0	states	Non-REM
23196.0	19.0	states	REM
23216.0	9.0	states	Awake
23226.0	343.0	states	Non-REM
23570.0	101.0	states	REM
23672.0	37.0	states	Awake
23710.0	576.0	states	Non-REM
24287.0	13.0	states	Awake
24301.0	345.0	states	Non-REM
