onset	duration	nwb_table	label
1.0	1023.0	states	Awake
1025.0	286.0	states	Non-REM
1312.0	21.0	states	Awake
1334.0	693.0	states	Non-REM
2028.0	49.0	states	Awake
2078.0	378.0	states	Non-REM
2457.0	32.0	states	REM
2490.0	45.0	states	Awake
2536.0	38.0	states	Non-REM
2575.0	11.0	states	Awake
2587.0	669.0	states	Non-REM
3257.0	82.0	states	REM
3340.0	75.0	states	Awake
3416.0	51.0	states	Non-REM
3468.0	20.0	states	Awake
3489.0	58.0	states	Non-REM
3548.0	21.0	states	Awake
3570.0	107.0	states	Non-REM
3678.0	8.0	states	Awake
3687.0	38.0	states	Non-REM
3726.0	516.0	states	Awake
4243.0	218.0	states	Non-REM
4462.0	103.0	states	REM
4566.0	32.0	states	Awake
4599.0	1456.0	states	Non-REM
6056.0	77.0	states	REM
6134.0	2730.0	states	Awake
8865.0	745.0	states	Non-REM
9611.0	32.0	states	REM
9644.0	21.0	states	Awake
9666.0	680.0	states	Non-REM
10347.0	40.0	states	REM
10388.0	38.0	states	Awake
10427.0	396.0	states	Non-REM
10824.0	124.0	states	REM
10949.0	83.0	states	Awake
11033.0	567.0	states	Non-REM
11601.0	87.0	states	REM
11689.0	35.0	states	Awake
11725.0	1086.0	states	Non-REM
12812.0	19.0	states	REM
12832.0	22.0	states	Awake
12855.0	258.0	states	Non-REM
13114.0	117.0	states	REM
13232.0	28.0	states	Awake
13261.0	562.0	states	Non-REM
13824.0	28.0	states	REM
13853.0	35.0	states	Awake
13889.0	181.0	states	Non-REM
14071.0	115.0	states	REM
14187.0	54.0	states	Awake
14242.0	686.0	states	Non-REM
14929.0	331.0	states	Awake
15261.0	404.0	states	Non-REM
15666.0	217.0	states	REM
15884.0	74.0	states	Awake
15959.0	842.0	states	Non-REM
16802.0	30.0	states	REM
16833.0	41.0	states	Awake
16875.0	387.0	states	Non-REM
17263.0	36.0	states	Awake
17300.0	244.0	states	Non-REM
17545.0	40.0	states	REM
17586.0	31.0	states	Awake
17618.0	78.0	states	Non-REM
17697.0	93.0	states	Awake
17791.0	39.0	states	Non-REM
17831.0	62.0	states	Awake
17894.0	30.0	states	Non-REM
17925.0	3135.0	states	Awake
