onset	duration	nwb_table	label
1.0	565.0	states	Non-REM
567.0	17.0	states	REM
585.0	25.0	states	Awake
611.0	206.0	states	Non-REM
818.0	95.0	states	REM
914.0	57.0	states	Awake
972.0	460.0	states	Non-REM
1433.0	141.0	states	REM
1575.0	61.0	states	Awake
1637.0	680.0	states	Non-REM
2318.0	40.0	states	Awake
2359.0	30.0	states	Non-REM
2390.0	15.0	states	Awake
2406.0	334.0	states	Non-REM
2741.0	40.0	states	Awake
2782.0	405.0	states	Non-REM
3188.0	77.0	states	REM
3266.0	29.0	states	Awake
3296.0	98.0	states	Non-REM
3395.0	138.0	states	Awake
3534.0	588.0	states	Non-REM
4123.0	16.0	states	REM
4140.0	36.0	states	Awake
4177.0	79.0	states	Non-REM
4257.0	450.0	states	Awake
4708.0	216.0	states	Non-REM
4925.0	19.0	states	Awake
4945.0	116.0	states	Non-REM
5062.0	66.0	states	REM
5129.0	17.0	states	Awake
5147.0	587.0	states	Non-REM
5735.0	21.0	states	Awake
5757.0	179.0	states	Non-REM
5937.0	40.0	states	Awake
5978.0	178.0	states	Non-REM
6157.0	120.0	states	REM
6278.0	1845.0	states	Awake
8124.0	524.0	states	Non-REM
8649.0	61.0	states	REM
8711.0	48.0	states	Awake
8760.0	484.0	states	Non-REM
9245.0	45.0	states	REM
9291.0	15.0	states	Awake
9307.0	80.0	states	Non-REM
9388.0	48.0	states	Awake
9437.0	241.0	states	Non-REM
9679.0	24.0	states	Awake
9704.0	192.0	states	Non-REM
9897.0	14.0	states	Awake
9912.0	149.0	states	Non-REM
10062.0	12.0	states	REM
10075.0	25.0	states	Awake
10101.0	127.0	states	Non-REM
10229.0	14.0	states	REM
10244.0	16.0	states	Awake
10261.0	349.0	states	Non-REM
10611.0	162.0	states	REM
10774.0	125.0	states	Awake
10900.0	659.0	states	Non-REM
11560.0	17.0	states	Awake
11578.0	233.0	states	Non-REM
11812.0	20.0	states	Awake
11833.0	64.0	states	Non-REM
11898.0	1925.0	states	Awake
13824.0	134.0	states	Non-REM
13959.0	7.0	states	Awake
13967.0	184.0	states	Non-REM
14152.0	54.0	states	REM
14207.0	27.0	states	Awake
14235.0	37.0	states	Non-REM
14273.0	82.0	states	Awake
14356.0	88.0	states	Non-REM
14445.0	20.0	states	Awake
14466.0	455.0	states	Non-REM
14922.0	147.0	states	REM
15070.0	38.0	states	Awake
15109.0	388.0	states	Non-REM
15498.0	22.0	states	Awake
15521.0	486.0	states	Non-REM
16008.0	16.0	states	Awake
16025.0	205.0	states	Non-REM
16231.0	137.0	states	REM
16369.0	50.0	states	Awake
16420.0	751.0	states	Non-REM
17172.0	125.0	states	REM
17298.0	971.0	states	Awake
