onset	duration	nwb_table	label
1.0	84.0	states	Awake
86.0	412.0	states	Non-REM
499.0	51.0	states	Awake
551.0	628.0	states	Non-REM
1180.0	95.0	states	Awake
1276.0	184.0	states	Non-REM
1461.0	267.0	states	Awake
1729.0	251.0	states	Non-REM
1981.0	29.0	states	REM
2011.0	62.0	states	Awake
2074.0	530.0	states	Non-REM
2605.0	15.0	states	REM
2621.0	26.0	states	Awake
2648.0	45.0	states	Non-REM
2694.0	97.0	states	REM
2792.0	20.0	states	Awake
2813.0	627.0	states	Non-REM
3441.0	140.0	states	REM
3582.0	20.0	states	Awake
3603.0	85.0	states	Non-REM
3689.0	14.0	states	Awake
3704.0	497.0	states	Non-REM
4202.0	34.0	states	REM
4237.0	482.0	states	Awake
4720.0	854.0	states	Non-REM
5575.0	31.0	states	Awake
5607.0	221.0	states	Non-REM
5829.0	31.0	states	REM
5861.0	8.0	states	Awake
5870.0	184.0	states	Non-REM
6055.0	46.0	states	REM
6102.0	39.0	states	Awake
6142.0	69.0	states	Non-REM
6212.0	455.0	states	Awake
6668.0	492.0	states	Non-REM
7161.0	47.0	states	REM
7209.0	59.0	states	Awake
7269.0	474.0	states	Non-REM
7744.0	91.0	states	REM
7836.0	26.0	states	Awake
7863.0	676.0	states	Non-REM
8540.0	75.0	states	REM
8616.0	37.0	states	Awake
8654.0	54.0	states	Non-REM
8709.0	645.0	states	Awake
9355.0	749.0	states	Non-REM
10105.0	1878.0	states	Awake
11984.0	185.0	states	Non-REM
12170.0	24.0	states	REM
12195.0	5.0	states	Awake
12201.0	151.0	states	Non-REM
12353.0	33.0	states	REM
12387.0	24.0	states	Awake
12412.0	342.0	states	Non-REM
12755.0	58.0	states	REM
12814.0	342.0	states	Awake
13157.0	20.0	states	Non-REM
13178.0	269.0	states	Awake
13448.0	322.0	states	Non-REM
13771.0	66.0	states	REM
13838.0	14.0	states	Awake
13853.0	303.0	states	Non-REM
14157.0	112.0	states	REM
14270.0	14.0	states	Awake
14285.0	607.0	states	Non-REM
14893.0	18.0	states	REM
14912.0	29.0	states	Awake
14942.0	58.0	states	Non-REM
15001.0	47.0	states	REM
15049.0	15.0	states	Awake
15065.0	375.0	states	Non-REM
15441.0	52.0	states	REM
15494.0	13.0	states	Awake
15508.0	510.0	states	Non-REM
16019.0	43.0	states	Awake
16063.0	409.0	states	Non-REM
16473.0	29.0	states	REM
16503.0	15.0	states	Awake
16519.0	169.0	states	Non-REM
16689.0	33.0	states	Awake
16723.0	478.0	states	Non-REM
17202.0	32.0	states	REM
17235.0	20.0	states	Awake
17256.0	26.0	states	Non-REM
17283.0	18.0	states	REM
17302.0	15.0	states	Awake
17318.0	132.0	states	Non-REM
17451.0	56.0	states	REM
17508.0	25.0	states	Awake
17534.0	387.0	states	Non-REM
17922.0	724.0	states	Awake
